,Equipo,Tabla,n_sim,Posición
22382,Cobresal,Absoluta,622,12
22383,Cobresal,Ponderada,622,12
22384,Universidad Católica,Absoluta,622,1
22385,Universidad Católica,Ponderada,622,1
22386,Iquique,Absoluta,622,17
22387,Iquique,Ponderada,622,18
22388,La Serena,Absoluta,622,15
22389,La Serena,Ponderada,622,10
22390,Coquimbo Unido,Absoluta,622,18
22391,Coquimbo Unido,Ponderada,622,9
22392,Everton,Absoluta,623,10
22393,Everton,Ponderada,623,12
22394,O'Higgins,Absoluta,623,8
22395,O'Higgins,Ponderada,623,7
22396,Antofagasta,Absoluta,623,7
22397,Antofagasta,Ponderada,623,14
22398,Audax Italiano,Absoluta,623,12
22399,Audax Italiano,Ponderada,623,9
22400,Santiago Wanderers,Absoluta,623,11
22401,Santiago Wanderers,Ponderada,623,8
22402,Huachipato,Absoluta,623,6
22403,Huachipato,Ponderada,623,5
22404,Unión Española,Absoluta,623,3
22405,Unión Española,Ponderada,623,3
22406,Curicó Unido,Absoluta,623,4
22407,Curicó Unido,Ponderada,623,11
22408,Colo-Colo,Absoluta,623,17
22409,Colo-Colo,Ponderada,623,6
22410,Unión La Calera,Absoluta,623,1
22411,Unión La Calera,Ponderada,623,2
22412,Universidad de Concepción,Absoluta,623,13
22413,Universidad de Concepción,Ponderada,623,18
22414,Palestino,Absoluta,623,5
22415,Palestino,Ponderada,623,4
22416,Universidad de Chile,Absoluta,623,9
22417,Universidad de Chile,Ponderada,623,16
22418,Cobresal,Absoluta,623,14
22419,Cobresal,Ponderada,623,13
22420,Universidad Católica,Absoluta,623,2
22421,Universidad Católica,Ponderada,623,1
22422,Iquique,Absoluta,623,15
22423,Iquique,Ponderada,623,17
22424,La Serena,Absoluta,623,16
22425,La Serena,Ponderada,623,15
22426,Coquimbo Unido,Absoluta,623,18
22427,Coquimbo Unido,Ponderada,623,10
22428,Everton,Absoluta,624,11
22429,Everton,Ponderada,624,15
22430,O'Higgins,Absoluta,624,14
22431,O'Higgins,Ponderada,624,9
22432,Antofagasta,Absoluta,624,6
22433,Antofagasta,Ponderada,624,14
22434,Audax Italiano,Absoluta,624,9
22435,Audax Italiano,Ponderada,624,7
22436,Santiago Wanderers,Absoluta,624,13
22437,Santiago Wanderers,Ponderada,624,8
22438,Huachipato,Absoluta,624,4
22439,Huachipato,Ponderada,624,6
22440,Unión Española,Absoluta,624,3
22441,Unión Española,Ponderada,624,3
22442,Curicó Unido,Absoluta,624,8
22443,Curicó Unido,Ponderada,624,13
22444,Colo-Colo,Absoluta,624,16
22445,Colo-Colo,Ponderada,624,5
22446,Unión La Calera,Absoluta,624,2
22447,Unión La Calera,Ponderada,624,2
22448,Universidad de Concepción,Absoluta,624,12
22449,Universidad de Concepción,Ponderada,624,17
22450,Palestino,Absoluta,624,5
22451,Palestino,Ponderada,624,4
22452,Universidad de Chile,Absoluta,624,7
22453,Universidad de Chile,Ponderada,624,16
22454,Cobresal,Absoluta,624,10
22455,Cobresal,Ponderada,624,11
22456,Universidad Católica,Absoluta,624,1
22457,Universidad Católica,Ponderada,624,1
22458,Iquique,Absoluta,624,18
22459,Iquique,Ponderada,624,18
22460,La Serena,Absoluta,624,15
22461,La Serena,Ponderada,624,10
22462,Coquimbo Unido,Absoluta,624,17
22463,Coquimbo Unido,Ponderada,624,12
22464,Everton,Absoluta,625,14
22465,Everton,Ponderada,625,15
22466,O'Higgins,Absoluta,625,11
22467,O'Higgins,Ponderada,625,8
22468,Antofagasta,Absoluta,625,7
22469,Antofagasta,Ponderada,625,14
22470,Audax Italiano,Absoluta,625,15
22471,Audax Italiano,Ponderada,625,10
22472,Santiago Wanderers,Absoluta,625,10
22473,Santiago Wanderers,Ponderada,625,7
22474,Huachipato,Absoluta,625,5
22475,Huachipato,Ponderada,625,6
22476,Unión Española,Absoluta,625,3
22477,Unión Española,Ponderada,625,3
22478,Curicó Unido,Absoluta,625,9
22479,Curicó Unido,Ponderada,625,16
22480,Colo-Colo,Absoluta,625,13
22481,Colo-Colo,Ponderada,625,4
22482,Unión La Calera,Absoluta,625,2
22483,Unión La Calera,Ponderada,625,2
22484,Universidad de Concepción,Absoluta,625,8
22485,Universidad de Concepción,Ponderada,625,17
22486,Palestino,Absoluta,625,6
22487,Palestino,Ponderada,625,5
22488,Universidad de Chile,Absoluta,625,4
22489,Universidad de Chile,Ponderada,625,13
22490,Cobresal,Absoluta,625,12
22491,Cobresal,Ponderada,625,12
22492,Universidad Católica,Absoluta,625,1
22493,Universidad Católica,Ponderada,625,1
22494,Iquique,Absoluta,625,18
22495,Iquique,Ponderada,625,18
22496,La Serena,Absoluta,625,16
22497,La Serena,Ponderada,625,11
22498,Coquimbo Unido,Absoluta,625,17
22499,Coquimbo Unido,Ponderada,625,9
22500,Everton,Absoluta,626,14
22501,Everton,Ponderada,626,16
22502,O'Higgins,Absoluta,626,12
22503,O'Higgins,Ponderada,626,8
22504,Antofagasta,Absoluta,626,8
22505,Antofagasta,Ponderada,626,15
22506,Audax Italiano,Absoluta,626,15
22507,Audax Italiano,Ponderada,626,9
22508,Santiago Wanderers,Absoluta,626,16
22509,Santiago Wanderers,Ponderada,626,11
22510,Huachipato,Absoluta,626,6
22511,Huachipato,Ponderada,626,7
22512,Unión Española,Absoluta,626,3
22513,Unión Española,Ponderada,626,3
22514,Curicó Unido,Absoluta,626,9
22515,Curicó Unido,Ponderada,626,14
22516,Colo-Colo,Absoluta,626,13
22517,Colo-Colo,Ponderada,626,5
22518,Unión La Calera,Absoluta,626,2
22519,Unión La Calera,Ponderada,626,2
22520,Universidad de Concepción,Absoluta,626,7
22521,Universidad de Concepción,Ponderada,626,17
22522,Palestino,Absoluta,626,5
22523,Palestino,Ponderada,626,4
22524,Universidad de Chile,Absoluta,626,4
22525,Universidad de Chile,Ponderada,626,13
22526,Cobresal,Absoluta,626,10
22527,Cobresal,Ponderada,626,10
22528,Universidad Católica,Absoluta,626,1
22529,Universidad Católica,Ponderada,626,1
22530,Iquique,Absoluta,626,17
22531,Iquique,Ponderada,626,18
22532,La Serena,Absoluta,626,11
22533,La Serena,Ponderada,626,6
22534,Coquimbo Unido,Absoluta,626,18
22535,Coquimbo Unido,Ponderada,626,12
22536,Everton,Absoluta,627,9
22537,Everton,Ponderada,627,13
22538,O'Higgins,Absoluta,627,10
22539,O'Higgins,Ponderada,627,8
22540,Antofagasta,Absoluta,627,8
22541,Antofagasta,Ponderada,627,14
22542,Audax Italiano,Absoluta,627,15
22543,Audax Italiano,Ponderada,627,12
22544,Santiago Wanderers,Absoluta,627,7
22545,Santiago Wanderers,Ponderada,627,5
22546,Huachipato,Absoluta,627,6
22547,Huachipato,Ponderada,627,7
22548,Unión Española,Absoluta,627,4
22549,Unión Española,Ponderada,627,4
22550,Curicó Unido,Absoluta,627,11
22551,Curicó Unido,Ponderada,627,15
22552,Colo-Colo,Absoluta,627,17
22553,Colo-Colo,Ponderada,627,6
22554,Unión La Calera,Absoluta,627,2
22555,Unión La Calera,Ponderada,627,2
22556,Universidad de Concepción,Absoluta,627,13
22557,Universidad de Concepción,Ponderada,627,18
22558,Palestino,Absoluta,627,5
22559,Palestino,Ponderada,627,3
22560,Universidad de Chile,Absoluta,627,3
22561,Universidad de Chile,Ponderada,627,9
22562,Cobresal,Absoluta,627,12
22563,Cobresal,Ponderada,627,11
22564,Universidad Católica,Absoluta,627,1
22565,Universidad Católica,Ponderada,627,1
22566,Iquique,Absoluta,627,14
22567,Iquique,Ponderada,627,17
22568,La Serena,Absoluta,627,16
22569,La Serena,Ponderada,627,16
22570,Coquimbo Unido,Absoluta,627,18
22571,Coquimbo Unido,Ponderada,627,10
22572,Everton,Absoluta,628,13
22573,Everton,Ponderada,628,15
22574,O'Higgins,Absoluta,628,7
22575,O'Higgins,Ponderada,628,6
22576,Antofagasta,Absoluta,628,6
22577,Antofagasta,Ponderada,628,12
22578,Audax Italiano,Absoluta,628,14
22579,Audax Italiano,Ponderada,628,9
22580,Santiago Wanderers,Absoluta,628,9
22581,Santiago Wanderers,Ponderada,628,7
22582,Huachipato,Absoluta,628,4
22583,Huachipato,Ponderada,628,5
22584,Unión Española,Absoluta,628,3
22585,Unión Española,Ponderada,628,3
22586,Curicó Unido,Absoluta,628,8
22587,Curicó Unido,Ponderada,628,14
22588,Colo-Colo,Absoluta,628,17
22589,Colo-Colo,Ponderada,628,8
22590,Unión La Calera,Absoluta,628,1
22591,Unión La Calera,Ponderada,628,2
22592,Universidad de Concepción,Absoluta,628,12
22593,Universidad de Concepción,Ponderada,628,18
22594,Palestino,Absoluta,628,5
22595,Palestino,Ponderada,628,4
22596,Universidad de Chile,Absoluta,628,10
22597,Universidad de Chile,Ponderada,628,16
22598,Cobresal,Absoluta,628,11
22599,Cobresal,Ponderada,628,10
22600,Universidad Católica,Absoluta,628,2
22601,Universidad Católica,Ponderada,628,1
22602,Iquique,Absoluta,628,16
22603,Iquique,Ponderada,628,17
22604,La Serena,Absoluta,628,15
22605,La Serena,Ponderada,628,13
22606,Coquimbo Unido,Absoluta,628,18
22607,Coquimbo Unido,Ponderada,628,11
22608,Everton,Absoluta,629,13
22609,Everton,Ponderada,629,15
22610,O'Higgins,Absoluta,629,9
22611,O'Higgins,Ponderada,629,6
22612,Antofagasta,Absoluta,629,5
22613,Antofagasta,Ponderada,629,13
22614,Audax Italiano,Absoluta,629,15
22615,Audax Italiano,Ponderada,629,14
22616,Santiago Wanderers,Absoluta,629,12
22617,Santiago Wanderers,Ponderada,629,8
22618,Huachipato,Absoluta,629,6
22619,Huachipato,Ponderada,629,5
22620,Unión Española,Absoluta,629,3
22621,Unión Española,Ponderada,629,4
22622,Curicó Unido,Absoluta,629,7
22623,Curicó Unido,Ponderada,629,12
22624,Colo-Colo,Absoluta,629,18
22625,Colo-Colo,Ponderada,629,7
22626,Unión La Calera,Absoluta,629,2
22627,Unión La Calera,Ponderada,629,2
22628,Universidad de Concepción,Absoluta,629,11
22629,Universidad de Concepción,Ponderada,629,17
22630,Palestino,Absoluta,629,4
22631,Palestino,Ponderada,629,3
22632,Universidad de Chile,Absoluta,629,8
22633,Universidad de Chile,Ponderada,629,16
22634,Cobresal,Absoluta,629,10
22635,Cobresal,Ponderada,629,11
22636,Universidad Católica,Absoluta,629,1
22637,Universidad Católica,Ponderada,629,1
22638,Iquique,Absoluta,629,16
22639,Iquique,Ponderada,629,18
22640,La Serena,Absoluta,629,14
22641,La Serena,Ponderada,629,9
22642,Coquimbo Unido,Absoluta,629,17
22643,Coquimbo Unido,Ponderada,629,10
22644,Everton,Absoluta,630,9
22645,Everton,Ponderada,630,14
22646,O'Higgins,Absoluta,630,7
22647,O'Higgins,Ponderada,630,7
22648,Antofagasta,Absoluta,630,4
22649,Antofagasta,Ponderada,630,11
22650,Audax Italiano,Absoluta,630,16
22651,Audax Italiano,Ponderada,630,12
22652,Santiago Wanderers,Absoluta,630,8
22653,Santiago Wanderers,Ponderada,630,5
22654,Huachipato,Absoluta,630,10
22655,Huachipato,Ponderada,630,8
22656,Unión Española,Absoluta,630,3
22657,Unión Española,Ponderada,630,3
22658,Curicó Unido,Absoluta,630,11
22659,Curicó Unido,Ponderada,630,15
22660,Colo-Colo,Absoluta,630,17
22661,Colo-Colo,Ponderada,630,6
22662,Unión La Calera,Absoluta,630,2
22663,Unión La Calera,Ponderada,630,2
22664,Universidad de Concepción,Absoluta,630,13
22665,Universidad de Concepción,Ponderada,630,18
22666,Palestino,Absoluta,630,6
22667,Palestino,Ponderada,630,4
22668,Universidad de Chile,Absoluta,630,5
22669,Universidad de Chile,Ponderada,630,16
22670,Cobresal,Absoluta,630,12
22671,Cobresal,Ponderada,630,13
22672,Universidad Católica,Absoluta,630,1
22673,Universidad Católica,Ponderada,630,1
22674,Iquique,Absoluta,630,18
22675,Iquique,Ponderada,630,17
22676,La Serena,Absoluta,630,14
22677,La Serena,Ponderada,630,10
22678,Coquimbo Unido,Absoluta,630,15
22679,Coquimbo Unido,Ponderada,630,9
22680,Everton,Absoluta,631,12
22681,Everton,Ponderada,631,13
22682,O'Higgins,Absoluta,631,6
22683,O'Higgins,Ponderada,631,5
22684,Antofagasta,Absoluta,631,9
22685,Antofagasta,Ponderada,631,14
22686,Audax Italiano,Absoluta,631,14
22687,Audax Italiano,Ponderada,631,11
22688,Santiago Wanderers,Absoluta,631,7
22689,Santiago Wanderers,Ponderada,631,6
22690,Huachipato,Absoluta,631,10
22691,Huachipato,Ponderada,631,8
22692,Unión Española,Absoluta,631,3
22693,Unión Española,Ponderada,631,3
22694,Curicó Unido,Absoluta,631,4
22695,Curicó Unido,Ponderada,631,9
22696,Colo-Colo,Absoluta,631,17
22697,Colo-Colo,Ponderada,631,7
22698,Unión La Calera,Absoluta,631,2
22699,Unión La Calera,Ponderada,631,2
22700,Universidad de Concepción,Absoluta,631,13
22701,Universidad de Concepción,Ponderada,631,18
22702,Palestino,Absoluta,631,5
22703,Palestino,Ponderada,631,4
22704,Universidad de Chile,Absoluta,631,8
22705,Universidad de Chile,Ponderada,631,15
22706,Cobresal,Absoluta,631,11
22707,Cobresal,Ponderada,631,12
22708,Universidad Católica,Absoluta,631,1
22709,Universidad Católica,Ponderada,631,1
22710,Iquique,Absoluta,631,15
22711,Iquique,Ponderada,631,17
22712,La Serena,Absoluta,631,16
22713,La Serena,Ponderada,631,16
22714,Coquimbo Unido,Absoluta,631,18
22715,Coquimbo Unido,Ponderada,631,10
22716,Everton,Absoluta,632,8
22717,Everton,Ponderada,632,12
22718,O'Higgins,Absoluta,632,9
22719,O'Higgins,Ponderada,632,6
22720,Antofagasta,Absoluta,632,6
22721,Antofagasta,Ponderada,632,14
22722,Audax Italiano,Absoluta,632,14
22723,Audax Italiano,Ponderada,632,8
22724,Santiago Wanderers,Absoluta,632,12
22725,Santiago Wanderers,Ponderada,632,11
22726,Huachipato,Absoluta,632,10
22727,Huachipato,Ponderada,632,7
22728,Unión Española,Absoluta,632,3
22729,Unión Española,Ponderada,632,3
22730,Curicó Unido,Absoluta,632,11
22731,Curicó Unido,Ponderada,632,16
22732,Colo-Colo,Absoluta,632,17
22733,Colo-Colo,Ponderada,632,5
22734,Unión La Calera,Absoluta,632,1
22735,Unión La Calera,Ponderada,632,2
22736,Universidad de Concepción,Absoluta,632,7
22737,Universidad de Concepción,Ponderada,632,17
22738,Palestino,Absoluta,632,5
22739,Palestino,Ponderada,632,4
22740,Universidad de Chile,Absoluta,632,4
22741,Universidad de Chile,Ponderada,632,15
22742,Cobresal,Absoluta,632,13
22743,Cobresal,Ponderada,632,13
22744,Universidad Católica,Absoluta,632,2
22745,Universidad Católica,Ponderada,632,1
22746,Iquique,Absoluta,632,16
22747,Iquique,Ponderada,632,18
22748,La Serena,Absoluta,632,15
22749,La Serena,Ponderada,632,10
22750,Coquimbo Unido,Absoluta,632,18
22751,Coquimbo Unido,Ponderada,632,9
22752,Everton,Absoluta,633,13
22753,Everton,Ponderada,633,15
22754,O'Higgins,Absoluta,633,11
22755,O'Higgins,Ponderada,633,9
22756,Antofagasta,Absoluta,633,6
22757,Antofagasta,Ponderada,633,12
22758,Audax Italiano,Absoluta,633,12
22759,Audax Italiano,Ponderada,633,11
22760,Santiago Wanderers,Absoluta,633,9
22761,Santiago Wanderers,Ponderada,633,6
22762,Huachipato,Absoluta,633,8
22763,Huachipato,Ponderada,633,7
22764,Unión Española,Absoluta,633,3
22765,Unión Española,Ponderada,633,3
22766,Curicó Unido,Absoluta,633,4
22767,Curicó Unido,Ponderada,633,10
22768,Colo-Colo,Absoluta,633,14
22769,Colo-Colo,Ponderada,633,5
22770,Unión La Calera,Absoluta,633,2
22771,Unión La Calera,Ponderada,633,2
22772,Universidad de Concepción,Absoluta,633,10
22773,Universidad de Concepción,Ponderada,633,17
22774,Palestino,Absoluta,633,7
22775,Palestino,Ponderada,633,4
22776,Universidad de Chile,Absoluta,633,5
22777,Universidad de Chile,Ponderada,633,14
22778,Cobresal,Absoluta,633,16
22779,Cobresal,Ponderada,633,13
22780,Universidad Católica,Absoluta,633,1
22781,Universidad Católica,Ponderada,633,1
22782,Iquique,Absoluta,633,17
22783,Iquique,Ponderada,633,18
22784,La Serena,Absoluta,633,18
22785,La Serena,Ponderada,633,16
22786,Coquimbo Unido,Absoluta,633,15
22787,Coquimbo Unido,Ponderada,633,8
22788,Everton,Absoluta,634,9
22789,Everton,Ponderada,634,13
22790,O'Higgins,Absoluta,634,14
22791,O'Higgins,Ponderada,634,9
22792,Antofagasta,Absoluta,634,8
22793,Antofagasta,Ponderada,634,15
22794,Audax Italiano,Absoluta,634,15
22795,Audax Italiano,Ponderada,634,10
22796,Santiago Wanderers,Absoluta,634,7
22797,Santiago Wanderers,Ponderada,634,5
22798,Huachipato,Absoluta,634,6
22799,Huachipato,Ponderada,634,7
22800,Unión Española,Absoluta,634,3
22801,Unión Española,Ponderada,634,3
22802,Curicó Unido,Absoluta,634,10
22803,Curicó Unido,Ponderada,634,14
22804,Colo-Colo,Absoluta,634,17
22805,Colo-Colo,Ponderada,634,6
22806,Unión La Calera,Absoluta,634,2
22807,Unión La Calera,Ponderada,634,2
22808,Universidad de Concepción,Absoluta,634,12
22809,Universidad de Concepción,Ponderada,634,18
22810,Palestino,Absoluta,634,5
22811,Palestino,Ponderada,634,4
22812,Universidad de Chile,Absoluta,634,4
22813,Universidad de Chile,Ponderada,634,16
22814,Cobresal,Absoluta,634,11
22815,Cobresal,Ponderada,634,12
22816,Universidad Católica,Absoluta,634,1
22817,Universidad Católica,Ponderada,634,1
22818,Iquique,Absoluta,634,16
22819,Iquique,Ponderada,634,17
22820,La Serena,Absoluta,634,13
22821,La Serena,Ponderada,634,8
22822,Coquimbo Unido,Absoluta,634,18
22823,Coquimbo Unido,Ponderada,634,11
22824,Everton,Absoluta,635,11
22825,Everton,Ponderada,635,11
22826,O'Higgins,Absoluta,635,7
22827,O'Higgins,Ponderada,635,7
22828,Antofagasta,Absoluta,635,8
22829,Antofagasta,Ponderada,635,15
22830,Audax Italiano,Absoluta,635,12
22831,Audax Italiano,Ponderada,635,10
22832,Santiago Wanderers,Absoluta,635,10
22833,Santiago Wanderers,Ponderada,635,8
22834,Huachipato,Absoluta,635,4
22835,Huachipato,Ponderada,635,6
22836,Unión Española,Absoluta,635,3
22837,Unión Española,Ponderada,635,3
22838,Curicó Unido,Absoluta,635,9
22839,Curicó Unido,Ponderada,635,14
22840,Colo-Colo,Absoluta,635,14
22841,Colo-Colo,Ponderada,635,5
22842,Unión La Calera,Absoluta,635,2
22843,Unión La Calera,Ponderada,635,2
22844,Universidad de Concepción,Absoluta,635,13
22845,Universidad de Concepción,Ponderada,635,18
22846,Palestino,Absoluta,635,6
22847,Palestino,Ponderada,635,4
22848,Universidad de Chile,Absoluta,635,5
22849,Universidad de Chile,Ponderada,635,13
22850,Cobresal,Absoluta,635,16
22851,Cobresal,Ponderada,635,12
22852,Universidad Católica,Absoluta,635,1
22853,Universidad Católica,Ponderada,635,1
22854,Iquique,Absoluta,635,18
22855,Iquique,Ponderada,635,17
22856,La Serena,Absoluta,635,17
22857,La Serena,Ponderada,635,16
22858,Coquimbo Unido,Absoluta,635,15
22859,Coquimbo Unido,Ponderada,635,9
22860,Everton,Absoluta,636,14
22861,Everton,Ponderada,636,15
22862,O'Higgins,Absoluta,636,7
22863,O'Higgins,Ponderada,636,7
22864,Antofagasta,Absoluta,636,6
22865,Antofagasta,Ponderada,636,13
22866,Audax Italiano,Absoluta,636,16
22867,Audax Italiano,Ponderada,636,10
22868,Santiago Wanderers,Absoluta,636,12
22869,Santiago Wanderers,Ponderada,636,9
22870,Huachipato,Absoluta,636,5
22871,Huachipato,Ponderada,636,5
22872,Unión Española,Absoluta,636,3
22873,Unión Española,Ponderada,636,4
22874,Curicó Unido,Absoluta,636,9
22875,Curicó Unido,Ponderada,636,14
22876,Colo-Colo,Absoluta,636,18
22877,Colo-Colo,Ponderada,636,6
22878,Unión La Calera,Absoluta,636,2
22879,Unión La Calera,Ponderada,636,2
22880,Universidad de Concepción,Absoluta,636,10
22881,Universidad de Concepción,Ponderada,636,18
22882,Palestino,Absoluta,636,4
22883,Palestino,Ponderada,636,3
22884,Universidad de Chile,Absoluta,636,8
22885,Universidad de Chile,Ponderada,636,16
22886,Cobresal,Absoluta,636,11
22887,Cobresal,Ponderada,636,11
22888,Universidad Católica,Absoluta,636,1
22889,Universidad Católica,Ponderada,636,1
22890,Iquique,Absoluta,636,17
22891,Iquique,Ponderada,636,17
22892,La Serena,Absoluta,636,15
22893,La Serena,Ponderada,636,12
22894,Coquimbo Unido,Absoluta,636,13
22895,Coquimbo Unido,Ponderada,636,8
22896,Everton,Absoluta,637,5
22897,Everton,Ponderada,637,11
22898,O'Higgins,Absoluta,637,11
22899,O'Higgins,Ponderada,637,7
22900,Antofagasta,Absoluta,637,9
22901,Antofagasta,Ponderada,637,16
22902,Audax Italiano,Absoluta,637,14
22903,Audax Italiano,Ponderada,637,10
22904,Santiago Wanderers,Absoluta,637,13
22905,Santiago Wanderers,Ponderada,637,12
22906,Huachipato,Absoluta,637,10
22907,Huachipato,Ponderada,637,6
22908,Unión Española,Absoluta,637,3
22909,Unión Española,Ponderada,637,3
22910,Curicó Unido,Absoluta,637,8
22911,Curicó Unido,Ponderada,637,15
22912,Colo-Colo,Absoluta,637,15
22913,Colo-Colo,Ponderada,637,5
22914,Unión La Calera,Absoluta,637,2
22915,Unión La Calera,Ponderada,637,2
22916,Universidad de Concepción,Absoluta,637,12
22917,Universidad de Concepción,Ponderada,637,17
22918,Palestino,Absoluta,637,6
22919,Palestino,Ponderada,637,4
22920,Universidad de Chile,Absoluta,637,4
22921,Universidad de Chile,Ponderada,637,14
22922,Cobresal,Absoluta,637,7
22923,Cobresal,Ponderada,637,8
22924,Universidad Católica,Absoluta,637,1
22925,Universidad Católica,Ponderada,637,1
22926,Iquique,Absoluta,637,18
22927,Iquique,Ponderada,637,18
22928,La Serena,Absoluta,637,16
22929,La Serena,Ponderada,637,13
22930,Coquimbo Unido,Absoluta,637,17
22931,Coquimbo Unido,Ponderada,637,9
22932,Everton,Absoluta,638,7
22933,Everton,Ponderada,638,14
22934,O'Higgins,Absoluta,638,8
22935,O'Higgins,Ponderada,638,6
22936,Antofagasta,Absoluta,638,4
22937,Antofagasta,Ponderada,638,13
22938,Audax Italiano,Absoluta,638,16
22939,Audax Italiano,Ponderada,638,12
22940,Santiago Wanderers,Absoluta,638,12
22941,Santiago Wanderers,Ponderada,638,10
22942,Huachipato,Absoluta,638,9
22943,Huachipato,Ponderada,638,7
22944,Unión Española,Absoluta,638,3
22945,Unión Española,Ponderada,638,4
22946,Curicó Unido,Absoluta,638,6
22947,Curicó Unido,Ponderada,638,15
22948,Colo-Colo,Absoluta,638,17
22949,Colo-Colo,Ponderada,638,5
22950,Unión La Calera,Absoluta,638,2
22951,Unión La Calera,Ponderada,638,2
22952,Universidad de Concepción,Absoluta,638,14
22953,Universidad de Concepción,Ponderada,638,18
22954,Palestino,Absoluta,638,5
22955,Palestino,Ponderada,638,3
22956,Universidad de Chile,Absoluta,638,11
22957,Universidad de Chile,Ponderada,638,16
22958,Cobresal,Absoluta,638,10
22959,Cobresal,Ponderada,638,9
22960,Universidad Católica,Absoluta,638,1
22961,Universidad Católica,Ponderada,638,1
22962,Iquique,Absoluta,638,15
22963,Iquique,Ponderada,638,17
22964,La Serena,Absoluta,638,13
22965,La Serena,Ponderada,638,8
22966,Coquimbo Unido,Absoluta,638,18
22967,Coquimbo Unido,Ponderada,638,11
22968,Everton,Absoluta,639,8
22969,Everton,Ponderada,639,12
22970,O'Higgins,Absoluta,639,11
22971,O'Higgins,Ponderada,639,8
22972,Antofagasta,Absoluta,639,9
22973,Antofagasta,Ponderada,639,15
22974,Audax Italiano,Absoluta,639,15
22975,Audax Italiano,Ponderada,639,13
22976,Santiago Wanderers,Absoluta,639,13
22977,Santiago Wanderers,Ponderada,639,7
22978,Huachipato,Absoluta,639,10
22979,Huachipato,Ponderada,639,9
22980,Unión Española,Absoluta,639,4
22981,Unión Española,Ponderada,639,4
22982,Curicó Unido,Absoluta,639,3
22983,Curicó Unido,Ponderada,639,10
22984,Colo-Colo,Absoluta,639,14
22985,Colo-Colo,Ponderada,639,5
22986,Unión La Calera,Absoluta,639,2
22987,Unión La Calera,Ponderada,639,2
22988,Universidad de Concepción,Absoluta,639,12
22989,Universidad de Concepción,Ponderada,639,17
22990,Palestino,Absoluta,639,5
22991,Palestino,Ponderada,639,3
22992,Universidad de Chile,Absoluta,639,6
22993,Universidad de Chile,Ponderada,639,14
22994,Cobresal,Absoluta,639,7
22995,Cobresal,Ponderada,639,6
22996,Universidad Católica,Absoluta,639,1
22997,Universidad Católica,Ponderada,639,1
22998,Iquique,Absoluta,639,17
22999,Iquique,Ponderada,639,18
23000,La Serena,Absoluta,639,16
23001,La Serena,Ponderada,639,16
23002,Coquimbo Unido,Absoluta,639,18
23003,Coquimbo Unido,Ponderada,639,11
23004,Everton,Absoluta,640,12
23005,Everton,Ponderada,640,14
23006,O'Higgins,Absoluta,640,6
23007,O'Higgins,Ponderada,640,6
23008,Antofagasta,Absoluta,640,9
23009,Antofagasta,Ponderada,640,15
23010,Audax Italiano,Absoluta,640,16
23011,Audax Italiano,Ponderada,640,12
23012,Santiago Wanderers,Absoluta,640,11
23013,Santiago Wanderers,Ponderada,640,7
23014,Huachipato,Absoluta,640,8
23015,Huachipato,Ponderada,640,8
23016,Unión Española,Absoluta,640,3
23017,Unión Española,Ponderada,640,4
23018,Curicó Unido,Absoluta,640,5
23019,Curicó Unido,Ponderada,640,11
23020,Colo-Colo,Absoluta,640,15
23021,Colo-Colo,Ponderada,640,5
23022,Unión La Calera,Absoluta,640,2
23023,Unión La Calera,Ponderada,640,2
23024,Universidad de Concepción,Absoluta,640,13
23025,Universidad de Concepción,Ponderada,640,18
23026,Palestino,Absoluta,640,4
23027,Palestino,Ponderada,640,3
23028,Universidad de Chile,Absoluta,640,7
23029,Universidad de Chile,Ponderada,640,16
23030,Cobresal,Absoluta,640,10
23031,Cobresal,Ponderada,640,10
23032,Universidad Católica,Absoluta,640,1
23033,Universidad Católica,Ponderada,640,1
23034,Iquique,Absoluta,640,17
23035,Iquique,Ponderada,640,17
23036,La Serena,Absoluta,640,14
23037,La Serena,Ponderada,640,13
23038,Coquimbo Unido,Absoluta,640,18
23039,Coquimbo Unido,Ponderada,640,9
23040,Everton,Absoluta,641,12
23041,Everton,Ponderada,641,15
23042,O'Higgins,Absoluta,641,8
23043,O'Higgins,Ponderada,641,6
23044,Antofagasta,Absoluta,641,7
23045,Antofagasta,Ponderada,641,14
23046,Audax Italiano,Absoluta,641,14
23047,Audax Italiano,Ponderada,641,11
23048,Santiago Wanderers,Absoluta,641,9
23049,Santiago Wanderers,Ponderada,641,7
23050,Huachipato,Absoluta,641,10
23051,Huachipato,Ponderada,641,8
23052,Unión Española,Absoluta,641,3
23053,Unión Española,Ponderada,641,3
23054,Curicó Unido,Absoluta,641,5
23055,Curicó Unido,Ponderada,641,10
23056,Colo-Colo,Absoluta,641,16
23057,Colo-Colo,Ponderada,641,5
23058,Unión La Calera,Absoluta,641,2
23059,Unión La Calera,Ponderada,641,2
23060,Universidad de Concepción,Absoluta,641,13
23061,Universidad de Concepción,Ponderada,641,18
23062,Palestino,Absoluta,641,6
23063,Palestino,Ponderada,641,4
23064,Universidad de Chile,Absoluta,641,4
23065,Universidad de Chile,Ponderada,641,13
23066,Cobresal,Absoluta,641,11
23067,Cobresal,Ponderada,641,12
23068,Universidad Católica,Absoluta,641,1
23069,Universidad Católica,Ponderada,641,1
23070,Iquique,Absoluta,641,15
23071,Iquique,Ponderada,641,17
23072,La Serena,Absoluta,641,18
