,n_sim,PenPon,AntAbs,Des1,Des2,PenAbs
930,2733,Iquique,Colo-Colo,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
931,2736,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
932,2737,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
933,2738,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
934,2739,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
935,2743,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
936,2746,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
937,2747,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
938,2751,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
939,2753,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
940,2754,Universidad de Concepción,Santiago Wanderers,Coquimbo Unido,Iquique,Iquique
941,2756,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
942,2758,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
943,2767,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
944,2768,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
945,2772,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
946,2773,Iquique,Iquique,Colo-Colo,Universidad de Concepción,Universidad de Concepción
947,2774,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
948,2775,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
949,2778,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
950,2784,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
951,2785,Universidad de Chile,La Serena,Coquimbo Unido,Iquique,Iquique
952,2788,Iquique,Iquique,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
953,2789,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
954,2792,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
955,2795,Universidad de Chile,Audax Italiano,Coquimbo Unido,Iquique,Iquique
956,2796,Universidad de Chile,Audax Italiano,Colo-Colo,Iquique,Iquique
957,2798,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
958,2805,Iquique,Iquique,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
959,2808,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
960,2812,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
961,2816,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
962,2819,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
963,2822,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
964,2823,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
965,2828,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
966,2829,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
967,2830,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
968,2834,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
969,2838,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
970,2839,Iquique,Iquique,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
971,2840,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
972,2842,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
973,2843,Iquique,Coquimbo Unido,Audax Italiano,Universidad de Concepción,Universidad de Concepción
974,2849,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
975,2850,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
976,2864,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
977,2865,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
978,2873,Iquique,Iquique,Colo-Colo,Universidad de Concepción,Universidad de Concepción
979,2874,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
980,2875,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
981,2876,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
982,2877,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
983,2881,Iquique,Colo-Colo,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
984,2884,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
985,2891,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
986,2894,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
987,2896,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
988,2899,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
989,2900,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
990,2903,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
991,2907,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
992,2911,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
993,2912,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
994,2914,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
995,2915,Universidad de Concepción,Santiago Wanderers,Coquimbo Unido,Iquique,Iquique
996,2916,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
997,2918,Universidad de Concepción,Santiago Wanderers,Coquimbo Unido,Iquique,Iquique
998,2921,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
999,2923,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1000,2924,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1001,2928,Universidad de Concepción,Coquimbo Unido,Audax Italiano,Iquique,Iquique
1002,2933,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1003,2934,Universidad de Concepción,Audax Italiano,Colo-Colo,Iquique,Iquique
1004,2935,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1005,2945,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1006,2950,Iquique,Cobresal,Audax Italiano,Universidad de Concepción,Universidad de Concepción
1007,2955,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1008,2960,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1009,2962,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
