,n_sim,PenPon,AntAbs,Des1,Des2,PenAbs
0,4,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1,6,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
2,10,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
3,12,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
4,13,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
5,15,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
6,16,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
7,17,Universidad de Chile,Audax Italiano,Coquimbo Unido,Iquique,Iquique
8,20,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
9,23,Iquique,Iquique,Colo-Colo,Universidad de Concepción,Universidad de Concepción
10,28,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
11,30,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
12,32,Universidad de Concepción,Audax Italiano,Colo-Colo,Iquique,Iquique
13,38,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
14,40,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
15,42,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
16,43,Universidad de Concepción,La Serena,Colo-Colo,Iquique,Iquique
17,48,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
18,52,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
19,53,Universidad de Concepción,Cobresal,Colo-Colo,Iquique,Iquique
20,59,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
21,61,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
22,63,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
23,69,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
24,70,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
25,73,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
26,74,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
27,77,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
28,78,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
29,86,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
30,87,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
31,90,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
32,91,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
33,93,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
34,95,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
35,101,Universidad de Chile,Audax Italiano,Coquimbo Unido,Iquique,Iquique
36,102,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
37,103,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
38,106,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
39,109,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
40,110,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
41,120,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
42,121,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
43,123,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
44,127,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
45,129,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
46,130,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
47,132,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
48,138,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
49,139,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
50,140,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
51,141,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
52,142,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
53,145,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
54,146,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
55,150,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
56,154,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
57,158,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
58,161,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
59,164,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
60,166,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
61,167,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
62,176,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
63,180,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
64,183,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
65,186,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
66,187,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
67,188,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
68,198,Universidad de Concepción,La Serena,Colo-Colo,Iquique,Iquique
69,201,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
70,204,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
71,205,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
72,207,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
73,209,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
74,215,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
75,216,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
76,217,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
77,229,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
78,233,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
79,234,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
80,235,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
81,240,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
82,241,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
83,244,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
84,251,Universidad de Concepción,Cobresal,Colo-Colo,Iquique,Iquique
85,256,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
86,259,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
87,261,Universidad de Chile,Cobresal,Coquimbo Unido,Iquique,Iquique
88,263,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
89,264,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
90,267,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
91,269,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
92,277,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
93,279,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
94,280,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
95,285,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
96,287,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
97,288,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
98,289,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
99,296,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
100,299,Universidad de Concepción,Santiago Wanderers,Audax Italiano,Iquique,Iquique
101,300,Universidad de Concepción,Santiago Wanderers,Coquimbo Unido,Iquique,Iquique
102,302,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
103,305,Universidad de Concepción,La Serena,Colo-Colo,Iquique,Iquique
104,306,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
105,308,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
106,311,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
107,312,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
108,315,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
109,316,Universidad de Concepción,Colo-Colo,Audax Italiano,Iquique,Iquique
110,317,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
111,325,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
112,327,Universidad de Concepción,Universidad de Chile,Coquimbo Unido,Iquique,Iquique
113,332,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
114,334,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
115,338,Iquique,La Serena,Audax Italiano,Universidad de Concepción,Universidad de Concepción
116,340,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
117,341,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
118,346,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
119,351,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
120,352,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
121,361,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
122,366,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
123,367,Universidad de Concepción,Coquimbo Unido,Audax Italiano,Iquique,Iquique
124,369,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
125,370,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
126,371,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
127,372,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
128,375,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
129,377,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
130,378,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
131,380,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
132,385,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
133,388,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
134,390,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
135,395,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
136,396,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
137,398,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
138,399,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
139,407,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
140,409,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
141,411,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
142,414,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
143,416,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
144,417,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
145,419,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
146,424,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
147,425,Universidad de Chile,Cobresal,Coquimbo Unido,Iquique,Iquique
148,430,Iquique,Iquique,Audax Italiano,Universidad de Concepción,Universidad de Concepción
149,435,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
150,436,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
151,438,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
152,441,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
153,445,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
154,446,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
155,449,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
156,451,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
157,456,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
158,461,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
159,465,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
160,467,Iquique,Iquique,Colo-Colo,Universidad de Concepción,Universidad de Concepción
161,469,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
162,470,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
163,476,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
164,477,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
165,482,Iquique,La Serena,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
166,493,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
167,496,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
168,497,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
169,501,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
170,515,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
171,517,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
172,520,Universidad de Chile,Audax Italiano,Coquimbo Unido,Iquique,Iquique
173,525,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
174,528,Universidad de Concepción,La Serena,Colo-Colo,Iquique,Iquique
175,530,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
176,532,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
177,537,Universidad de Concepción,La Serena,Audax Italiano,Iquique,Iquique
178,538,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
179,544,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
180,546,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
181,550,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
182,551,Universidad de Chile,Audax Italiano,Coquimbo Unido,Iquique,Iquique
183,553,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
184,554,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
185,555,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
186,557,Universidad de Concepción,Audax Italiano,Colo-Colo,Iquique,Iquique
187,562,Iquique,Iquique,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
188,564,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
189,566,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
190,567,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
191,568,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
192,569,Iquique,Iquique,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
193,572,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
194,576,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
195,577,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
196,581,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
197,583,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
198,586,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
199,587,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
200,588,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
201,591,Universidad de Chile,Coquimbo Unido,Audax Italiano,Iquique,Iquique
202,600,Universidad de Chile,Audax Italiano,Coquimbo Unido,Iquique,Iquique
203,601,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
204,602,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
205,603,Iquique,Coquimbo Unido,Colo-Colo,Universidad de Concepción,Universidad de Concepción
206,610,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
207,611,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
208,618,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
209,620,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
210,622,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
211,634,Iquique,Iquique,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
212,637,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
213,639,Iquique,Colo-Colo,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
214,641,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
215,644,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
216,647,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
217,648,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
218,652,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
219,659,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
220,660,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
221,664,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
222,665,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
223,666,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
224,671,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
225,672,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
226,673,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
227,675,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
228,676,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
229,680,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
230,682,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
231,683,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
232,706,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
233,707,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
234,708,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
235,710,Universidad de Chile,La Serena,Coquimbo Unido,Iquique,Iquique
236,712,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
237,713,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
238,715,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
239,717,Iquique,Iquique,Audax Italiano,Universidad de Concepción,Universidad de Concepción
240,720,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
241,722,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
242,728,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
243,740,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
244,741,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
245,748,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
246,756,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
247,757,Iquique,Coquimbo Unido,Audax Italiano,Universidad de Concepción,Universidad de Concepción
248,759,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
249,765,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
250,767,Universidad de Chile,Audax Italiano,Coquimbo Unido,Iquique,Iquique
251,770,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
252,773,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
253,774,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
254,776,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
255,778,Iquique,La Serena,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
256,780,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
257,781,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
258,783,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
259,784,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
260,785,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
261,786,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
262,790,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
263,792,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
264,796,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
265,798,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
266,799,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
267,802,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
268,805,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
269,806,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
270,808,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
271,809,Universidad de Concepción,Audax Italiano,Colo-Colo,Iquique,Iquique
272,810,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
273,812,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
274,813,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
275,817,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
276,823,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
277,827,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
278,829,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
279,833,Universidad de Concepción,Audax Italiano,Colo-Colo,Iquique,Iquique
280,834,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
281,838,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
282,839,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
283,847,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
284,851,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
285,852,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
286,855,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
287,856,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
288,857,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
289,859,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
290,860,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
291,867,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
292,868,Iquique,Coquimbo Unido,Colo-Colo,Universidad de Concepción,Universidad de Concepción
293,873,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
294,876,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
295,884,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
296,889,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
297,890,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
298,895,Universidad de Concepción,Santiago Wanderers,Coquimbo Unido,Iquique,Iquique
299,897,Universidad de Chile,Coquimbo Unido,Colo-Colo,Iquique,Iquique
300,904,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
301,909,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
302,910,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
303,911,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
304,916,Universidad de Concepción,Audax Italiano,Colo-Colo,Iquique,Iquique
305,928,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
306,929,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
307,931,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
308,932,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
309,939,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
310,940,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
311,943,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
312,951,Iquique,Iquique,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
313,957,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
314,958,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
315,960,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
316,964,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
317,966,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
318,970,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
319,975,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
320,980,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
321,982,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
322,983,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
323,984,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
324,987,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
325,990,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
326,991,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
327,993,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
328,995,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
329,996,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
330,998,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
331,1002,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
332,1006,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
333,1007,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
334,1013,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
