,n_sim,Equipo,Desc,Motivo
189,64,Coquimbo Unido,1,Último Absoluta
190,64,Universidad de Concepción,2,Último Ponderada
191,64,Iquique,3,Partido Pen Abs vs Pen Pon
192,65,Coquimbo Unido,1,Último Absoluta
193,65,Iquique,2,Último Ponderada
194,65,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
195,66,Coquimbo Unido,1,Último Absoluta
196,66,Iquique,2,Último Ponderada
197,66,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
198,67,Coquimbo Unido,1,Último Absoluta
199,67,Iquique,2,Último Ponderada
200,67,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
201,68,Coquimbo Unido,1,Último Absoluta
202,68,Iquique,2,Último Ponderada
203,68,Colo-Colo,3,Partido Ant Abs vs Pen Pon
204,69,Coquimbo Unido,1,Último Absoluta
205,69,Universidad de Concepción,2,Último Ponderada
206,69,Iquique,3,Partido Pen Abs vs Pen Pon
207,70,Coquimbo Unido,1,Último Absoluta
208,70,Iquique,2,Último Ponderada
209,70,Colo-Colo,3,Partido Ant Abs vs Pen Pon
210,71,Coquimbo Unido,1,Último Absoluta
211,71,Universidad de Concepción,2,Último Ponderada
212,71,Iquique,3,Partido Pen Abs vs Pen Pon
213,72,Iquique,1,Último Absoluta
214,72,Universidad de Concepción,2,Penúltimo Ponderada
215,72,Curicó Unido,3,Partido Pen Abs vs Ant Pon
216,73,Coquimbo Unido,1,Último Absoluta
217,73,Iquique,2,Último Ponderada
218,73,La Serena,3,Partido Ant Abs vs Pen Pon
219,74,Iquique,1,Último Absoluta
220,74,Universidad de Concepción,2,Penúltimo Ponderada
221,74,Curicó Unido,3,Partido Pen Abs vs Ant Pon
222,75,Coquimbo Unido,1,Último Absoluta
223,75,Universidad de Concepción,2,Último Ponderada
224,75,Iquique,3,Partido Pen Abs vs Pen Pon
225,76,Coquimbo Unido,1,Último Absoluta
226,76,Universidad de Concepción,2,Último Ponderada
227,76,Iquique,3,Partido Pen Abs vs Pen Pon
228,77,Coquimbo Unido,1,Último Absoluta
229,77,Universidad de Concepción,2,Último Ponderada
230,77,Iquique,3,Partido Pen Abs vs Pen Pon
231,78,Iquique,1,Último Absoluta
232,78,Universidad de Concepción,2,Penúltimo Ponderada
233,78,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
234,79,Coquimbo Unido,1,Último Absoluta
235,79,Universidad de Concepción,2,Último Ponderada
236,79,Iquique,3,Partido Pen Abs vs Pen Pon
237,80,Coquimbo Unido,1,Último Absoluta
238,80,Iquique,2,Último Ponderada
239,80,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
240,81,Coquimbo Unido,1,Último Absoluta
241,81,Universidad de Concepción,2,Último Ponderada
242,81,Iquique,3,Partido Pen Abs vs Pen Pon
243,82,Coquimbo Unido,1,Último Absoluta
244,82,Universidad de Concepción,2,Último Ponderada
245,82,Iquique,3,Partido Pen Abs vs Pen Pon
246,83,Coquimbo Unido,1,Último Absoluta
247,83,Universidad de Concepción,2,Último Ponderada
248,83,Iquique,3,Partido Pen Abs vs Pen Pon
249,84,Iquique,1,Último Absoluta
250,84,Universidad de Concepción,2,Penúltimo Ponderada
251,84,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
252,85,Coquimbo Unido,1,Último Absoluta
253,85,Universidad de Concepción,2,Último Ponderada
254,85,Iquique,3,Partido Pen Abs vs Pen Pon
255,86,Coquimbo Unido,1,Último Absoluta
256,86,Iquique,2,Último Ponderada
257,86,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
258,87,Coquimbo Unido,1,Último Absoluta
259,87,Iquique,2,Último Ponderada
260,87,Audax Italiano,3,Partido Ant Abs vs Pen Pon
261,88,Coquimbo Unido,1,Último Absoluta
262,88,Iquique,2,Último Ponderada
263,88,Colo-Colo,3,Partido Ant Abs vs Pen Pon
